danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,liked,duration_s
0.8247549019607845,0.6256038647342995,0.6363636363636364,0.8890920475892298,0.0,0.038852010933229215,0.4532646557358795,0.0007574819401444788,0.11151858643107186,0.6273949401926537,0.29864430818003584,0.75,0,0.39328212314665834
0.7745098039215688,0.7051127214170693,0.9090909090909092,0.8593613024420789,0.0,0.5431472081218275,0.20703274517575154,0.0,0.09684947491248543,0.5120143961045834,0.7605055687648605,0.75,1,0.29406930675939863
0.16053921568627452,0.012580515297906603,0.09090909090909091,0.3690169067000627,1.0,0.027528309254197587,0.9969849153808964,0.9256965944272447,0.11485247541256875,0.0030697575950037054,0.12618362324281485,0.75,0,0.36294181761561223
0.7254901960784315,0.7383252818035426,0.2727272727272727,0.883331246086412,0.0,0.05993752440452949,0.43316409160852204,1.217750257997936e-06,0.1498583097182864,0.5787022335132845,0.2476869811871688,0.75,1,0.22788014048199856
0.8051470588235295,0.573268921095008,0.09090909090909091,0.8702567313713212,1.0,0.3791487700117142,0.14572602458731154,0.0,0.07034505750958493,0.6475071451254366,0.7921077879280856,0.75,1,0.17683085067732396
0.7941176470588236,0.6336553945249598,0.7272727272727273,0.8978334376956794,1.0,0.18976962124170246,0.040600074201232475,0.0,0.09684947491248543,0.8380438234360114,0.6739248321027822,0.75,1,0.25401982664659783
0.6568627450980393,0.590378421900161,0.0,0.8479899812147778,0.0,0.5782897305739946,0.5577875891981378,0.0,0.13485580930155028,0.7840584312480152,0.12349726775956282,0.75,1,0.11911558623553226
0.9705882352941179,0.714170692431562,0.6363636363636364,0.9076268002504696,1.0,0.279578289730574,0.07828863194002755,4.0866873065015484e-05,0.23653942323720623,0.9195511802688684,0.3736954073332498,0.75,1,0.14635905953184203
0.8137254901960785,0.660829307568438,0.6363636363636364,0.8816030056355666,0.0,0.042951971885982036,0.1437159681745758,0.0023116615067079464,0.10218369728288047,0.2886630676405208,0.43255328911692315,0.75,0,0.2945571875919102
0.886029411764706,0.6698872785829308,0.2727272727272727,0.8833061991233563,1.0,0.8184303006638033,0.2643193529387201,0.0,0.11818636439406567,0.7512437810945274,0.816118132899512,0.75,1,0.15252331274545422
0.204656862745098,0.9969806763285024,0.8181818181818182,0.8788478396994364,1.0,0.17610308473252634,5.381926045099938e-05,0.7946336429308566,0.07251208534755794,0.15105324441621676,0.5633170650314936,0.75,0,0.18204529333402536
0.8406862745098039,0.4333735909822866,0.09090909090909091,0.82832811521603,1.0,0.416243654822335,0.0047306175159632395,0.0,0.16486081013502252,0.6782047210754737,0.732248779877362,0.75,1,0.25569972837840177
0.204656862745098,0.9768518518518519,0.09090909090909091,0.9456731371321226,1.0,0.24053104256149943,0.0014642758452676665,0.9473684210526316,0.17652942157026175,0.21033132211284006,0.35528302673841405,0.75,0,0.16144530371446864
0.5318627450980392,0.7453703703703703,0.5454545454545454,0.9136881653099561,1.0,0.3752440452948067,0.586933407182806,0.0,0.11318553092182031,0.1648142267386472,0.9066700037542235,0.75,1,0.18765073268628574
0.6250000000000001,0.9607487922705313,0.7272727272727273,1.0,1.0,0.09039437719640764,0.04331365035842572,0.0,0.07634605767627937,0.6951413147030803,0.6242105702248362,0.75,1,0.17440874725350775
0.6789215686274511,0.64170692431562,0.4545454545454546,0.8103944896681277,0.0,0.006052323311206566,0.22210816827126958,0.010526315789473686,0.24320720120020006,0.7851169683497407,0.3825303466399699,0.75,0,0.27173232297019084
0.8823529411764707,0.8560789049919485,0.7272727272727273,0.9169943644333124,1.0,0.18586489652479501,0.015574871862672545,0.0,0.11985330888481414,0.7395998729755477,0.6829266257873441,0.75,1,0.10328195013927097
0.7536764705882354,0.4565217391304348,0.7272727272727273,0.8210144020037571,1.0,0.11636079656384227,0.4422093454658329,0.0,0.06484414069011502,0.09389224092304436,0.2824928044049555,0.75,0,0.41031124028996047
0.7647058823529412,0.4756441223832528,0.09090909090909091,0.7857733249843457,1.0,0.24638812963686058,0.525626686594366,0.0,0.13318886481080183,0.21138985921456543,0.4741584282317607,0.75,1,0.2148423037663708
0.8174019607843138,0.855072463768116,0.7272727272727273,0.9282154038822792,1.0,0.416243654822335,0.0557760001173873,2.5283797729618164e-05,0.034172362060343395,0.47073144913729226,0.6329120260292829,0.75,1,0.04351135793498381
0.8186274509803922,0.8379629629629629,0.8181818181818182,0.9625297432686286,1.0,0.3401015228426396,0.16582658871466893,0.0,0.13152192032005333,0.6072827352598709,0.7497518041129603,0.75,1,0.10732859293091818
0.37745098039215697,0.08061594202898552,0.8181818181818182,0.5153412648716343,0.0,0.0814135103475205,0.9879396615235856,0.07729618163054695,0.021670278379729957,0.3542923679474965,0.38463271180077585,1.0,0,0.33355305271535096
0.8235294117647061,0.5501207729468599,0.4545454545454546,0.8431058234189104,0.0,0.06891839125341664,0.2693444939705595,0.005118679050567596,0.10885147524587431,0.4897851169683497,0.6575147040420473,0.75,1,0.18585145585716512
0.5759803921568628,0.5360305958132046,0.36363636363636365,0.7572448340638698,1.0,0.6798125732135886,0.2753746632087667,0.0,0.10885147524587431,0.17963374616280298,1.0,0.5,1,0.17092610854483486
0.7340686274509804,0.5340177133655395,0.8181818181818182,0.8054351909830932,0.0,0.8125732135884421,0.7507530048207686,4.6852425180598555e-06,0.08618103017169527,0.40933629723721815,0.7994660659909063,0.75,0,0.25734848878047095
0.9031862745098039,0.45752818035426734,0.09090909090909091,0.8604383218534752,1.0,0.4084342053885201,0.09919321863247922,0.0,0.10601766961160193,0.16693130094209802,0.3410586910274058,0.75,1,0.23101676441584057
0.6372549019607844,0.5460950080515299,0.36363636363636365,0.8653475266123982,0.0,0.04607575165950801,0.2723595785896631,7.574819401444789e-06,0.11485247541256875,0.08224833280406478,0.13625328494556366,0.75,1,0.28324942475043685
0.832107843137255,0.5752818035426731,0.4545454545454546,0.8444583594239199,0.0,0.6973838344396721,0.4020082172111182,0.0,0.11985330888481414,0.7628876892135069,0.7658866224502563,0.75,1,0.18734969983218286
0.7585784313725491,0.841988727858293,0.5454545454545454,0.9371070757670632,1.0,0.5255759468957439,0.08713288015606481,0.0,0.2848808134689115,0.8136974700963269,0.9335252158678513,0.75,1,0.05847130672479714
0.6458333333333335,0.33272946859903385,0.7272727272727273,0.7190482154038822,1.0,0.9726669269816479,0.061102649611137004,0.0,0.20653442240373399,0.29395575314914785,0.7341342343469737,0.75,1,0.03704434179339458
0.6850490196078431,0.6819645732689211,0.6363636363636364,0.8944270507201002,0.0,0.09683717297930494,0.3939679915601752,1.259029927760578e-06,0.12318719786631106,0.5628241769874034,0.12742668835773563,0.75,1,0.15807857995536412
0.6593137254901962,0.4595410628019324,0.5454545454545454,0.7561427676894177,0.0,0.17610308473252634,0.050147842161727234,1.0319917440660475e-06,0.6249374895815969,0.518365618714936,0.824677762482793,0.75,1,0.18894482794415324
0.19730392156862744,0.9838969404186796,0.09090909090909091,0.9298184095178459,1.0,0.24443576727840688,0.0012733204860577716,0.09391124871001032,0.11485247541256875,0.2346776754525246,0.16369248738163766,0.75,0,0.33514472067957307
0.5428921568627451,0.5823268921095007,0.9090909090909092,0.8324358171571696,0.0,0.6075751659508006,0.7567831740589758,1.4344685242518061e-06,0.16152692115352563,0.33418016301471365,0.13627831310223992,0.75,1,0.1594159270600855
0.5857843137254902,0.4716183574879227,0.0,0.8415028177833437,1.0,0.13022256930886372,0.4482395147040401,3.7461300309597526e-06,0.5599266544424071,0.6845559436858263,0.08785717265256743,0.5,0,0.15327935502845974
0.21691176470588233,0.04941626409017714,0.36363636363636365,0.3448465873512837,0.0,0.008980866848887152,0.7115569047724216,0.651186790505676,0.6449408234705785,0.12564835397480684,0.5663454719893213,0.75,0,0.08361447033788344
0.8014705882352943,0.7020933977455717,0.6363636363636364,0.8669254852849092,0.0,0.15657946114798907,0.4934657839905942,0.0,0.12485414235705951,0.7766486715359373,0.182346806824344,0.75,0,0.1952630577325652
0.38970588235294124,0.9738325281803543,0.09090909090909091,0.9533876017532874,1.0,0.15072237407262787,0.00042708673629602586,0.9411764705882354,0.5715952658776463,0.3659362760664761,0.49258749426438075,0.75,0,0.08075465822390615
0.6348039215686275,0.7534219001610306,0.7272727272727273,0.8435566687539136,1.0,0.10308473252635691,0.018288448019865792,0.00041382868937048505,0.01450241706951158,0.8761511590981264,0.33592791890877227,0.75,0,0.2900019030812616
0.9375000000000001,0.4796698872785829,1.0,0.8313087038196618,0.0,0.4787192502928544,0.2090428015884873,0.0,0.09518253042173695,0.7237218164496665,0.7164560130146416,0.75,1,0.09922146675663052
0.27941176470588236,0.980877616747182,0.7272727272727273,0.8536505948653725,0.0,0.08766106989457242,7.914597125146966e-05,0.953560371517028,0.11651941990331723,0.43791679898380437,0.6466441413256581,0.75,0,0.20234425009947926
0.7500000000000001,0.42330917874396135,0.09090909090909091,0.8131747025673137,0.0,0.15657946114798907,0.8361804023620374,1.0732714138286895e-05,0.052175362560426736,0.7163120567375886,0.12393108914195128,0.75,1,0.20206743827961454
0.5796568627450981,0.889291465378422,0.4545454545454546,0.9639073262366937,0.0,0.10913705583756345,0.00044919735683611895,0.0,0.3782297049508252,0.38075579549063193,0.5494014099194928,0.75,1,0.26423418279960553
0.868872549019608,0.6306360708534622,0.2727272727272727,0.9166687539135879,0.0,0.23272159312768448,0.24220873239862695,0.0,0.12485414235705951,0.7290145019582936,0.2822925791515454,0.75,1,0.22589401567446932
0.06617647058823528,0.9778582930756844,0.7272727272727273,0.9022917971195992,0.0,0.1526747364310816,2.0251318358312558e-05,0.9143446852425181,0.34655775962660446,0.31195088387847997,0.28031535477412084,0.5,0,0.31173682116226364
0.2977941176470589,0.9838969404186796,0.09090909090909091,0.932874139010645,0.0,0.18391253416634126,0.0003175386618019281,0.9349845201238391,0.11985330888481414,0.3225362548957341,0.3101405748133317,0.75,0,0.23311707409906407
